"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","eval_acc","sample","regularization"
"BinOCT","breast-cancer",138,"3",0,3600,107,21.999999996,0.840579710144927,0.999999999995455,4454401,3600,0,0,0,0,0.742857142857143,0.710144927536232,"4",FALSE
"BinOCT","breast-cancer",138,"3",0,3600,107,19.999999996,0.855072463768116,0.999999999995,4691810,3600,0,0,0,0,0.7,0.652173913043478,"5",FALSE
"BinOCT","breast-cancer",138,"4",0,3600,107,19.999999994,0.855072463768116,0.999999999995,3069963,3600,0,0,0,0,0.714285714285714,0.72463768115942,"1",FALSE
"BinOCT","breast-cancer",138,"4",0,3600,107,15.999999994,0.884057971014493,0.99999999999375,3209477,3600,0,0,0,0,0.657142857142857,0.608695652173913,"2",FALSE
"BinOCT","breast-cancer",138,"4",0,3600,107,18.999999993,0.86231884057971,0.999999999994737,3260811,3600,0,0,0,0,0.7,0.768115942028985,"3",FALSE
"BinOCT","breast-cancer",138,"4",0,3600,107,18.999999995,0.86231884057971,0.999999999994737,4327649,3600,0,0,0,0,0.742857142857143,0.710144927536232,"4",FALSE
"BinOCT","breast-cancer",138,"4",0,3600,107,12.999999996,0.905797101449275,0.999999999992308,3374211,3600,0,0,0,0,0.642857142857143,0.608695652173913,"5",FALSE
"BinOCT","breast-cancer",138,"5",0,3600,107,14.999999995,0.891304347826087,0.999999999993333,2386455,3600,0,0,0,0,0.642857142857143,0.811594202898551,"1",FALSE
"BinOCT","breast-cancer",138,"5",0,3600,107,11.999999996,0.91304347826087,0.999999999991667,1871908,3600,0,0,0,0,0.728571428571429,0.710144927536232,"2",FALSE
"BinOCT","breast-cancer",138,"5",0,3600,107,14.999999995,0.891304347826087,0.999999999993333,2178887,3600,0,0,0,0,0.671428571428571,0.768115942028985,"3",FALSE
"BinOCT","breast-cancer",138,"5",0,3600,107,13.999999994,0.898550724637681,0.999999999992857,2172279,3600,0,0,0,0,0.7,0.608695652173913,"4",FALSE
"BinOCT","breast-cancer",138,"5",0,3600,107,7.99999999600001,0.942028985507246,0.9999999999875,2272772,3600,0,0,0,0,0.685714285714286,0.63768115942029,"5",FALSE
"BinOCT","balance-scale",313,"2",0,3600,101,94,0.699680511182109,0,2926,7.52397894859314,0,0,0,0,0.611464968152866,0.625806451612903,"1",FALSE
"BinOCT","balance-scale",313,"2",0,3600,101,97,0.690095846645367,0,3499,8.05150318145752,0,0,0,0,0.719745222929936,0.625806451612903,"2",FALSE
"BinOCT","balance-scale",313,"2",0,3600,101,93,0.702875399361022,0,3004,4.89778137207031,0,0,0,0,0.687898089171974,0.632258064516129,"3",FALSE
"BinOCT","balance-scale",313,"2",0,3600,101,88.999999998,0.715654952076677,0,3503,6.39644479751587,0,0,0,0,0.64968152866242,0.645161290322581,"4",FALSE
"BinOCT","balance-scale",313,"2",0,3600,101,93,0.702875399361022,0,2083,6.76295900344849,0,0,0,0,0.611464968152866,0.619354838709677,"5",FALSE
"BinOCT","balance-scale",313,"3",0,3600,107,68.99999999,0.779552715654952,0.884057970996408,2183147,3600,0,0,0,0,0.719745222929936,0.651612903225806,"1",FALSE
"BinOCT","balance-scale",313,"3",0,3600,107,76.999999988,0.753993610223642,0.996687655776753,2905304,3600,0,0,0,0,0.777070063694268,0.670967741935484,"2",FALSE
